MacBook-Air-Maxim:module_08 kme$ docker-compose logs -t
Attaching to service_main, service_presentation, service_author
service_main            | 2023-05-21T20:49:35.222109786Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:35.265757040Z WARNING:root:
service_main            | 2023-05-21T20:49:36.276753577Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:36.295237970Z WARNING:root:
service_main            | 2023-05-21T20:49:37.298410441Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:37.329598490Z WARNING:root:
service_main            | 2023-05-21T20:49:38.334383981Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:38.392334657Z WARNING:root:
service_main            | 2023-05-21T20:49:39.406483611Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:39.433250401Z WARNING:root:
service_main            | 2023-05-21T20:49:40.436873504Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:40.464001962Z WARNING:root:
service_main            | 2023-05-21T20:49:41.467774720Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:41.500569865Z WARNING:root:
service_main            | 2023-05-21T20:49:42.503550775Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:42.554935397Z WARNING:root:
service_main            | 2023-05-21T20:49:43.565141027Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:43.586551715Z WARNING:root:
service_main            | 2023-05-21T20:49:44.595704032Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:44.642150182Z WARNING:root:
service_main            | 2023-05-21T20:49:45.645441359Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:45.699742322Z WARNING:root:
service_main            | 2023-05-21T20:49:46.703075641Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:46.734734128Z WARNING:root:
service_main            | 2023-05-21T20:49:47.738420540Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:47.782243261Z WARNING:root:
service_main            | 2023-05-21T20:49:48.785296928Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:48.803966623Z WARNING:root:
service_main            | 2023-05-21T20:49:48.977866473Z --- Logging error ---
service_main            | 2023-05-21T20:49:48.995693349Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:48.995730944Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connection.py", line 174, in _new_conn
service_main            | 2023-05-21T20:49:48.995737053Z     conn = connection.create_connection(
service_main            | 2023-05-21T20:49:48.995741091Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/util/connection.py", line 72, in create_connection
service_main            | 2023-05-21T20:49:48.995745140Z     for res in socket.getaddrinfo(host, port, family, socket.SOCK_STREAM):
service_main            | 2023-05-21T20:49:48.995749000Z   File "/usr/lib/python3.10/socket.py", line 955, in getaddrinfo
service_main            | 2023-05-21T20:49:48.995752974Z     for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
service_main            | 2023-05-21T20:49:48.995756769Z socket.gaierror: [Errno -2] Name or service not known
service_main            | 2023-05-21T20:49:48.995760519Z 
service_main            | 2023-05-21T20:49:48.995764109Z During handling of the above exception, another exception occurred:
service_main            | 2023-05-21T20:49:48.995767816Z 
service_main            | 2023-05-21T20:49:48.995771330Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:48.995977167Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connectionpool.py", line 703, in urlopen
service_main            | 2023-05-21T20:49:48.995988045Z     httplib_response = self._make_request(
service_main            | 2023-05-21T20:49:48.995992013Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connectionpool.py", line 398, in _make_request
service_main            | 2023-05-21T20:49:48.995995943Z     conn.request(method, url, **httplib_request_kw)
service_main            | 2023-05-21T20:49:48.996558262Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connection.py", line 239, in request
service_main            | 2023-05-21T20:49:48.996587606Z     super(HTTPConnection, self).request(method, url, body=body, headers=headers)
service_main            | 2023-05-21T20:49:48.996839348Z   File "/usr/lib/python3.10/http/client.py", line 1282, in request
service_main            | 2023-05-21T20:49:48.996853704Z     self._send_request(method, url, body, headers, encode_chunked)
service_main            | 2023-05-21T20:49:48.997527810Z   File "/usr/lib/python3.10/http/client.py", line 1328, in _send_request
service_main            | 2023-05-21T20:49:48.997553038Z     self.endheaders(body, encode_chunked=encode_chunked)
service_main            | 2023-05-21T20:49:48.997558713Z   File "/usr/lib/python3.10/http/client.py", line 1277, in endheaders
service_main            | 2023-05-21T20:49:48.997563888Z     self._send_output(message_body, encode_chunked=encode_chunked)
service_main            | 2023-05-21T20:49:48.997569405Z   File "/usr/lib/python3.10/http/client.py", line 1037, in _send_output
service_main            | 2023-05-21T20:49:48.997575256Z     self.send(msg)
service_main            | 2023-05-21T20:49:48.997655097Z   File "/usr/lib/python3.10/http/client.py", line 975, in send
service_main            | 2023-05-21T20:49:48.997664409Z     self.connect()
service_main            | 2023-05-21T20:49:48.997669658Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connection.py", line 205, in connect
service_main            | 2023-05-21T20:49:48.997674724Z     conn = self._new_conn()
service_main            | 2023-05-21T20:49:48.997730378Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connection.py", line 186, in _new_conn
service_main            | 2023-05-21T20:49:48.997741188Z     raise NewConnectionError(
service_main            | 2023-05-21T20:49:48.997747140Z urllib3.exceptions.NewConnectionError: <urllib3.connection.HTTPConnection object at 0x7fa5c4a6eda0>: Failed to establish a new connection: [Errno -2] Name or service not known
service_main            | 2023-05-21T20:49:48.997914980Z 
service_main            | 2023-05-21T20:49:48.997929648Z During handling of the above exception, another exception occurred:
service_main            | 2023-05-21T20:49:48.997936229Z 
service_main            | 2023-05-21T20:49:48.997941472Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:48.997946993Z   File "/usr/local/lib/python3.10/dist-packages/requests/adapters.py", line 489, in send
service_main            | 2023-05-21T20:49:48.997952815Z     resp = conn.urlopen(
service_main            | 2023-05-21T20:49:48.997958017Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connectionpool.py", line 787, in urlopen
service_main            | 2023-05-21T20:49:48.997964031Z     retries = retries.increment(
service_main            | 2023-05-21T20:49:48.997969341Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/util/retry.py", line 592, in increment
service_main            | 2023-05-21T20:49:48.997974956Z     raise MaxRetryError(_pool, url, error or ResponseError(cause))
service_main            | 2023-05-21T20:49:48.997981074Z urllib3.exceptions.MaxRetryError: HTTPConnectionPool(host='service_author', port=8081): Max retries exceeded with url: /authors/1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa5c4a6eda0>: Failed to establish a new connection: [Errno -2] Name or service not known'))
service_main            | 2023-05-21T20:49:48.998002827Z 
service_main            | 2023-05-21T20:49:48.998008539Z During handling of the above exception, another exception occurred:
service_main            | 2023-05-21T20:49:48.998013259Z 
service_main            | 2023-05-21T20:49:48.998017984Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:48.998050707Z   File "/./service_main.py", line 74, in get_author
service_main            | 2023-05-21T20:49:48.998058158Z     response_author = requests.get("http://" + service_author + "/authors/" + str(id))
service_main            | 2023-05-21T20:49:48.998064051Z   File "/usr/local/lib/python3.10/dist-packages/requests/api.py", line 73, in get
service_main            | 2023-05-21T20:49:48.998116802Z     return request("get", url, params=params, **kwargs)
service_main            | 2023-05-21T20:49:48.998123830Z   File "/usr/local/lib/python3.10/dist-packages/requests/api.py", line 59, in request
